original	translation
56952	14572
16190	14573
16191	14574
16192	14575
16193	14576,14577
16194	14578
16195	14579
16196	14582
16197	14583
16198	14584
16199	14586
16200	14587,14589
16201	14590
48048	14591
48049	62984
48050,48051	14592
48052	47580
48053	47581
48054	14595
48055	14597
16206	62985
16207	14598
16208	14599
16209	
	14600
16210	14601
16211	14602
16212	14603
62839	14604
16213	14605
16214	14606
48056	14607
48057	62986
16216	14608
16217	14609,14610,14611
16218	14612
16219	14613
16220	14614
16221	14615
16222	14616
16223	14617
16224	14618
16225	14619
16226	14620,14621
16227	14622
16228	14623
48058	14624
48059	14625
16230	14626
48060	14628
48061	14629
16232	14630
16233	47582
48062	47583
48063	47584
16235	14632
16236	14633
16237	14634
16238	14635,14636
16239	14637,14638
16240	14639
16241	14640
16242	14641
16243	14642
16244	14643
16245	14644
16246	14645,62987
48064,56954	14646,14647
48065	14648
16248	14649
16249	14650
16250	14651
16251	47585
16252	47586
16253	14653
16254	14654
48066	14655
48067	62988,62989
16256	14656
16257	14657
16258	14658
16259	14659
16260	14660
16261	14661
48068	14662,14663
48069	14664
16263	14665
16264	14666
16265	14667
16266	14670
6500	10292,10293
6501	10294
6502	10295
47268	10296
47269	10297
6504,6505	10298
6506	10299
6507	10300
6508	10301
47270	10302
47271	10303
6510	10304,10305
6511	10306
6512	10307
47272	10308
47273	10309
6514,6515	10310,10311,10312
6516	10313,10314
6517	10315
6518,6519,6520	10316
6521	10317
6522	10318
6523	10319,10320
6524	10321
6525	10322
6526	10323
6527	10324
6528	10325
6529	10326,10327
6530	10328
6531	10329
47274	47404
47275	47405
6533	10331
6534	10332
6535	10333
6536	10334
6537	10335
6538,6539	10336
6540	10338
6541	10339
6542	10340,10341
6543	10342
6544	10343
6545	10344
6546	10345
6547	10346
6548	10347
6549	10348,10349
57360	10350
6550	10351
6551	10352
6552	10353
6553	10354
47276	10355,10356
47277	10357
6555	10358,10359
47278	47406
47279	47407
6557	10362
6558	10363
6559	10364,47408,47409
6560	10366
6561,6562	10367
6563	10368
6564	10369,10370
6565	10371
6566	10372
6567	10373
6568	10374
6569	10375
6570	10376
6571	10377
6572	10378
6573	10379
6576	47410
47280	47411
47281	47412
47282	47413
6578	10385,10386
57361	10387
6579,6580	10388
6581	10389
6582	10390
6583	10391
6584	10392
6585,6586	10393,10394
57051	10395
6588	10396
6589	10397
6590	10398
6591	10399
6592	10400
6593	47414,47415
47283	10402
47284	10403
6595	10404
6596	10405,10406
6597	10407
6598	10408
6599	10409
6600	10410
	10411
6601	10412
6602	10413
47285,47286	10414
6604	10415
6605	10416
6606	10417
6607	10418
6608	10419
6609	10420
6610	10421,10422
6611	10423
6612	10424
6613	10425
6614	10426
6615	10427,10428
6616	10429
6617	10430
6618	10431
6619	10432
6620	10433
6621	10434,10435,10436
6622	10437
6623	10438
6624	10439,10440
83596	
	10441
6625	10442
6626	10443,10444
6627	10445,10447
6628	10448
6629,6630,6631	10449
6632	10450,10451
6633	10452
6634	10453
6635	10455
6636	10457
6637	10458
6638	10459
6639	10460
6640	10461
6641	10462
6642	10463
6643	10464
58265	10465
6644	10466
6645,6646	10467,10468,10469
6647	10470
6648	10471
6649	10472
6650	10473
47287,47288	10474
6652	10475
6653	10476
6654	10477
6655	10478
6656	10479
6657	10480
6658	10481
6659	10482,10483
6660	10484,10485
6661	10486,10487
6662	10488,10489
6663	10490
6664	10491
6665	10492
6666	10493
6667	10494
6668	10495
6669	10499
6670	10500
6671	10502
6672	10503
6673	10504,10505,10506,10507
6674	10508
6675	10509
6676	10510
6677	10511,10512
6678	10513
6679,6680	10514,10515
6681	10516
6682	10517
6683	10518
6684	10519
6685	10520
6686	10521
6687	10522
6688	10523
6689	10524
6690	10525
6691	10526
6692	10527,10528
6693	10529,10530
6694	10531
47289	10532
47290	10533
6696	10534
6697	10535
6698	10536,10537
6699	10538
6700	10539
6701	10540
6702	10541
6703	10542
47291	47416
47292	47417
6705	10544,10545
6706	10546
6707	10547
6708	10548,10549
6709	
6710	
	10550
6711	10551
6712	10552,10553,10554
6713	10555,10556
6714	10557
47293	47418
47294	47419
6716	10559
6717	10560
6718	10561
6719	10562
6720	10563
6721	10564
6722	10565
6723	10566
6724	10567
6725	10568
6726	10569
6727	10570,10571
6728	10572
